source	target
नब्बे	ᱯᱩᱱ ᱤᱥᱤ ᱜᱮᱞ
पैर	ᱡᱟᱸᱜᱟ
गरम सफेद दूध पियो	ᱞᱚᱞᱚ ᱯᱩᱸᱰ ᱛᱳᱣᱟ ᱧᱩᱭ ᱢᱮ
तुम कहाँ रहते हो?	ᱟᱢ ᱫᱚ ᱚᱠᱟᱨᱮᱢ ᱛᱟᱦᱮᱸᱱᱟ?
नीला	ᱞᱤᱞ
हम सब अपने गाँव को साफ़ रखेंगे	ᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱟᱵᱚᱣᱟᱜ ᱟᱹᱛᱩ ᱥᱟᱯᱷᱟᱵᱚ ᱫᱚᱦᱚᱭᱟ
तीन सेब	ᱯᱮ ᱥᱮᱣ
अब किसकी बारी है?	ᱱᱤᱛᱚᱜ ᱫᱚ ᱚᱠᱚᱭᱟᱜ ᱯᱟᱞᱟ ᱠᱟᱱᱟ?
मुझे स्लेट दो	ᱤᱧ ᱥᱞᱮᱴ ᱮᱢᱟᱹᱧ ᱢᱮ
रविवार को छुट्टी होती है	ᱥᱤᱸᱜᱮ ᱢᱟᱦᱟᱸ ᱫᱚ ᱪᱷᱩᱴᱤ ᱛᱟᱦᱮᱸᱱᱟ
मेज़	ᱴᱮᱵᱩᱞ
एक किताब	ᱢᱤᱫ ᱯᱩᱛᱷᱤ
अतिथि को पानी पिलाओ	ᱯᱮᱲᱟ ᱦᱚᱲ ᱫᱟᱜ ᱮᱢᱟᱭ ᱢᱮ
स्लेट पर अपनी पसंद का चित्र बनाओ	ᱥᱞᱮᱴ ᱨᱮ ᱟᱯᱱᱟᱨ ᱠᱩᱥᱤ ᱪᱤᱛᱟᱹᱨ ᱵᱮᱱᱟᱣ ᱢᱮ
केला	ᱠᱟᱭᱨᱟ
हाथ धोकर आओ	ᱛᱤ ᱟᱹᱨᱩᱵ ᱠᱟᱛᱮ ᱦᱤᱡᱩᱜ ᱢᱮ
तीन चिड़ियाँ पेड़ पर बैठी हैं	ᱯᱮᱭᱟ ᱪᱮᱬᱮ ᱫᱟᱨᱮ ᱨᱮᱠᱚ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟ
खुले में रखा खाना मत खाओ	ᱚᱴᱟᱝ ᱨᱮ ᱫᱚᱦᱚ ᱟᱠᱟᱱ ᱡᱚᱢᱟᱜ ᱟᱞᱚᱢ ᱡᱚᱢᱟ
संख्या दस	ᱜᱮᱞ
कुत्ता	ᱥᱮᱛᱟ
मेंढक	ᱨᱚᱴᱮ
प्याज	ᱯᱮᱭᱟᱸᱡᱽ
यह लाल सेब है	ᱱᱚᱣᱟ ᱫᱚ ᱟᱨᱟᱜ ᱥᱮᱣ ᱠᱟᱱᱟ
जो पूछना है, बारी-बारी से पूछो	ᱡᱟᱦᱟᱸ ᱠᱩᱠᱞᱤ ᱢᱮᱱᱟᱜ-ᱟ, ᱵᱟᱨᱤ-ᱵᱟᱨᱤ ᱛᱮ ᱠᱩᱞᱤᱭ ᱯᱮ
नाखून	ᱨᱟᱢᱟ
यह रेखा पतली है	ᱱᱚᱣᱟ ᱜᱟᱟᱨ ᱫᱚ ᱯᱟᱛᱞᱟ ᱜᱮᱭᱟ
साफ़-साफ़ अक्षरों में लिखो	ᱥᱟᱯᱷᱟ-ᱥᱟᱯᱷᱟ ᱟᱠᱷᱚᱨ ᱛᱮ ᱚᱞ ᱢᱮ
एक छोटी सी कहानी सुनाओ	ᱢᱤᱫᱴᱟᱝ ᱠᱟᱹᱴᱤᱡ ᱠᱟᱹᱦᱱᱤ ᱞᱟᱹᱭ ᱢᱮ
इन कंकड़ों को गिनकर बताओ	ᱱᱚᱣᱟ ᱜᱤᱴᱤᱞ ᱠᱚ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
आठ	ᱤᱨᱟᱹᱞ
भात (पका चावल)	ᱫᱟᱠᱟ
शाबाश, बहुत बढ़िया!	ᱟᱹᱰᱤ ᱵᱷᱟᱹᱜᱤ!
दो कान गिनकर बताओ	ᱵᱟᱨ ᱞᱩᱛᱩᱨ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
यहाँ दो किताब हैं	ᱱᱚᱸᱰᱮ ᱵᱟᱨ ᱯᱩᱛᱷᱤ ᱢᱮᱱᱟᱜ-ᱟ
जीव-जंतुओं पर दया करो	ᱡᱤᱵᱽ-ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱫᱟᱭᱟ ᱠᱚ ᱢᱮ
दो सेब गिनकर बताओ	ᱵᱟᱨ ᱥᱮᱣ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
गाय घास खा रही है	ᱜᱟᱹᱭ ᱜᱷᱟᱥᱮ ᱡᱚᱢᱮᱫᱟ
अपने बस्ते को व्यवस्थित रखो	ᱟᱢᱟᱜ ᱡᱷᱳᱞᱟ ᱥᱟᱡᱟᱣ ᱠᱟᱛᱮ ᱫᱚᱦᱚᱭ ᱢᱮ
